word,pronunciation,word_type,definitions,examples,pl
dagalaa,dàgàláà,n,,,
dagaŋgaŋ,dàgàŋgáŋ,n,,"A bie taa la dagaŋgaŋ, fo na yeli ka sõɔ. The child is so full of wit that it might be attributed to witchraft.",
Dagao,dàgáʊ̀,n,,,
Dagara,dàgàrà,n,,,
dagaraa,dàgàráà,n,,,
dageliŋe,dágelíŋé,n,,,
dagoli,dàgólí,n,,,
daguo,dàgùó,n,,,
Dagbɛmmo,dàgbɛmmʊ́ ́,n,,,
Dagbɛnne,Dàgbɛnnɪ́,,,,
Dagbɛnnoo,dàgbɛnnʊ́ ́ʊ́,n,,,
dagboli,dàgbólí,n,,,
dagbollo,dàgbólló,n,,,
dagbuli,dàgbùlí,n,,,
dagbulo,dàgbùló,n,,,
dagyu,dàdzú,n,,,
daha,dáhá,n,,,
dakala,dàkálá,n,,,
dakogi,dàkógí,n,,,
dakogidɛllaa,dàkògìdɛlláá,,,,
dakogilee,dàkògìléé,n,,,
dakoɔre,dàkʊ̀ ɔ̀rɪ,,,,
dakoɔroŋ,dàkʊ́ɔ́rʊ́ŋ,n,,,
Dakoraa,dàkʊ́ráá,n,,,
dakoraa,dàkòràá,n,,,
dakoroŋ,dàkʊ̀ rʊ̀ ŋ,n,,,
dakɔɔre,dàkɔ́ɔ́rɪ,,,,
dakɔɔre,dàkɔ́ɔ́rɪ,,,,
dakuoŋaa,dàkúóŋáá,n,,,
Dakpaa,dàkpàá,n,,,
dakpaa,dàkpáà,n,,,
Dakpaaloo,dàkpáálʊ́ʊ́,n,,,
dakpalori,dàkpàlórí,n,,,
dakpele,dàkpɪlɪ́,,,,
dakpiri,dàkpíri,n,,,
Dakpɔge,dàkpɔ́gɪ,,,,
dakyage,dàʧàgɪ,,,,
dakyara,dàʧárà,n,,,
Dakyeeloo,dàʧɪɪ́ lʊ́ ́ʊ́,n,,,
dakyeerekpaglaga,dàʧɪɪ̀ rɪ̀	kpàglá-̀ gá,n,,,
dakyeɛ,dàʧɪɛ,,,,
dakyeɛraa,dàʧɪɛ̀ ̀ráà,n,,,
dakyeɛraa,dàʧɪɛ́ ráá,,,,
dakyeɛrɛko,dàʧɪɛ́ rɛ́ kò,,,,
nɔguu,dàʧɪ-̀ nɔ́gùú,n,,,
dakyeraa,dàʧɪràà,,,,
dakyɛ,dàʧɛ,,,N nɛɛse dakyɛ la so ka a bie kpi. The child died because of the nurse’s carelessness.,
dala,dàlà,n,,A pɔgelee zagere la a toma kyɛ yele o dala. The girl refused to do the work and put on airs.,
dalaa,dàlàá,n,,,
dalaraa,dàláràà,n,,,
dalee,dàléé,n,,,
daleerɛ,dàlɪɪ́ rɛ́,,,A nannyige daleerɛ zaa ka a polisri baŋ. The police have gotten to know all the thief’s tricks.,
dalege,dàlɪgɪ́,,,,
dalempoɔ,dàlɪmpʊ́ ́ɔ́,n,,,
dalendeɛloo,dàlɪndɪ́ ɛ́ lʊ́ ̀ ʊ́,n,,,
daliiri,dàlíírì,n,,O yɛlɛ na o naŋ yeli ba taa daliiri. There is no substance in his/her speech.,
dalogeraa,dàlʊ́gráá,n,,,
dalogi,dàlógì,n,,,
dalugiri,dàlúgrí,n,,,
daluri,dàlúri,n,,,
damadama,dàmàdàmà,adj,,,
damagara,dàmàgàrà,n,,,
damannaa,dàmánnáá,n,,,
dambo,dàmbó,n,,,
damboli,dàmbólì,n,,,
damɔlɔ,dàmɔ́l,n,,,
dampoɔ,dàmpʊ́ɔ́,n,,,
dampuori,dàmpúórí,n,,,
damui,dàmùí,n,,,
dandamiine,dàndàmííné,n,,,
dandayieni,dándáyíéní,n,,,
dandɔɔ,dàndɔ́ɔ́,n,,,
danduli,dàndúlí,n,,,
daneenɛ,dànɪɪ́ nɛ́,,,,
danegere,dànɪgrɪ́,,,,
daneŋenɛ,dànɪŋɪ́	nɛ́,,,,
danfaraŋ,dànfàràŋ,adj,,,
dankyini,dànʧíní,n,,,
ŋmaa,dǎnʧǐn-ŋmáá,n,,,
dankyinsɛgeraa,dǎnʧǐnsɛgráá,,,,
dankyinsɔglaa,dǎnʧǐnsɔ́gláá,,,,
dankyinsɔɔraa,dǎnʧǐnsɔ́ɔ́ráá,n,,,
dankyiŋkogilaa,dànʧìnkógláá,n,,,
dankyo,dánʧó,n,,,
danne,dánnɪ,,,,
dannoŋ,dànnʊ́ŋ,n,,,
danse,dánsɪ,,,,
danseɛ,dánsɪɛ́,,,,
danseɛsoba,dánsɪɛ́ sʊ́ ́bá,n,,,
Danteɛ,dàntɪɛ́,,,,
Danteɛloo,dàntɪɛ́ lʊ́ ́ʊ́,n,,,
dantiŋ,dàtíŋ,n,,,
danwẽɛ,dànwẽ́ɛ̀̃,adj,,,
danyagela,dàɲáglá,n,,,
danyagere,dàɲágrɪ,n,,,
danyaŋe,dàɲáŋ,adj,,O daŋ kpɛ la aloopelee. S/he has travelled by plane before.,
daŋaa,dàŋàá,n,,,
daŋaa,dàŋàà,adj,,"N na daŋ fo la ta. I will get there before you. daŋɛɛ, danna, danna, danema, dannaa, danema",
daŋe,dàŋ,v,,"Zenɛ, o daŋe la toma waabo. Today s/he came to work early. (2) come earlier, Zenɛ, o daŋe la toma waabo gaŋe bebiri zaa. Today s/he came to work earlier than all other days. daŋɛɛ, danna, danna, danema, dannaa, danema",
daŋena,dáŋɪná,,,,
daŋgoɔne,dàŋgʊ́ɔ́nɪ,,,,
daŋgbala,dáŋgbála,n,,,
daŋgbale,dàŋgbàlɪ,,,,
daŋkasaŋ,dáŋkásáŋ,adj,,,
daŋkuuri,dàŋkúúrí,n,,,
daŋŋa,dáŋŋá,n,,,
Daŋyi,dàŋyí,n,,,
daŋmaa,dàŋmáá,n,,,
daŋmeɛlɛ,dàŋmɪɛ́ lɛ́,,,,
daŋmeɛraa,dàŋmɪɛ́ ráà,,,,
daŋmeɛraa,dàŋmɪɛ́ ráà,,,,
daoo,dàʊ̀ ʊ̀,adv,,,
ɔɔraa,dà-ɔ́ɔ́ráá,n,,,
dapaaloŋ,dàpáálʊ́ŋ,n,,,
dapare,dàpàrɪ,,,,
daparedaa,dàpárɪdàá,,,,
daparekpeɛŋaa,dàpàrɪkpɪ̀ ɛ́ ŋáá,,,,
daparenuulee,dàpàrɪnúúléé,,,,
daparoo,dàpárʊ́ʊ́,n,,,
dapeɛlkammo,dàpɪɛ́ lkámmʊ́ ́,n,,,
daperaa,dàpɪràa,,,,
daperekalonni,dàpɪrɪ́ kálónnì,,,,
daperenyaa,dàpɪrɪ̀ ɲáà,,,,
dapɛɛre,dàpɛ̀ɛ̀rɪ,,,,
dapɛge,dàpɛgɪ́,,,,
dapɛle,dàpɛlɪ́,,,,
dapɛlemɛ,dàpɛlmɛ́,,,,
dapɛlɛŋe,dàpɛ̀lɛ̀ŋ,n,,,
dara,dárá,n,,,
daransaŋ,dàránsáŋ,n,,,
dare,dárɪ,,,,
dare,dàrɪ,,,,
Dasãã,dàsã́ã́,n,,,
dasaŋa,dàsáŋà,n,,,
dasaraa,dàsáràà,n,,,
daseelɛ,dàsɪɪ̀ lɛ̀ ̀,n,,,
dasɛgeraa,dàsɛgɪ́ ráá,,,,
dasɛrɛɛ,dàsɛrɛ́ ɛ́,,,,
dasugo,dàsúgò,n,,,
dasuoluŋ,dàsùólúŋ,n,,,
dataa,dàtáá,n,,,
datara,dàtárá,n,,,
datuo,dàtúó,n,,,
datuo,dàtúó,n,,,
dave,dàvɪ,,,,
daveene,dàvɪɪ̀ nɪ̀,,,,
daveraŋkantoll,dàvɪràŋkántóll,,,,
davoro,dàvòró,n,,,
davuo,dàvùó,n,,,
dawɛge,dàwɛgɪ́,,,,
dawɛrɛ,dàwɛ̀rɪ,,,,
daworo,dáwóró,n,,,
dayeni,dàyénì,adj,,,
dayere,dàyéré,n,,,
dayieni,dáyíéní,n,,,
dayuu,dàyúú,n,,,
dazɛllaa,dàzɛlláá,,,,
dazugiri,dàzùgrí,n,,,
dazugivũu,dàzùgvũ̀ù,n,,,
de,dɪ,,,,
dedeekɔɔ,dèdéékɔ́ɔ́,n,,,
dẽe,dĩĩ̀,,,,
deedee,déédéé,adj,,,
deɛ,dɪɛ́ ̀,adv,,"N deɛ ba baŋ a pare. I just don’t understand it. deɛ [dɪɛ́ ̀] v. to remain somewhere, O gaa la a tigiri te deɛ. S/he went to the feast and never returned. deɛɛ, deɛrɛ, deɛrɛ, deɛrebɛ, deɛraa, deɛrebɛ",
dẽɛ,dɪɛ̀̃ ̀̃,v,,,
dẽɛbaŋ,dɪɛ̀̃ ̀̃bàŋ,n,,,
dẽɛdeɛnɛ,dɪɛ̀̃ ̀̃dɪɛ́ nɛ́,,,,
dẽɛkakalle,dɪɛ̀̃ ̀kákàllɪ,,,,
dẽɛkoɔbo,dɪɛ̀̃ ̀kʊ́ɔ́bʊ́,n,,,
dẽɛkuori,dɪɛ̃́ ̃kúórí,n,,,
deɛlaa,dɪɛ̀ ̀láá,n,,,
deɛle,dɪɛ́ lɪ́,,,,
deɛle,dɪɛ̀ ̀lɪ,,,,
deɛlɛɛpoo,dɪɛ́ lɛ́ ɛ́ pʊ́ ́ʊ̀,n,,,
dẽɛmakoma,dɪɛ̀̃ ̀màkʊ́má,n,,,
dẽɛmɛ,dɪɛ̀̃ ̀mɛ,,,,
deɛmɛkonlɔŋ,dɪɛ́ mɛ́ kʊ́ ́nlɔ́ŋ,n,,,
dẽɛmpɔge,dɪɛ̀̃ ̀pɔ́gɪ,,,,
deɛnaa,dɪɛ́ náá,,,,
deɛndɔɔ,dɪɛdɔ̀̃ ́ɔ́,n,,,
deɛne,dɪɛ̀ ̀nɪ,,,"Bibiiri nɔŋe la deɛne yaga. Children love play., A bibiiri ba nɔŋe a deɛne ŋa. The children do not like this play. (2) joke, Bonso ka fo de a yelnimize ŋa eŋe deɛne? Why do you take this serious matter for a joke? (3) drama, Zenɛ te na kaa la karembiiri deɛne na naŋ kyaare ‘bibiiri emmaaroŋ yɛlɛ’. Today we shall watch a drama piece by pupils on the title ‘children’s health’. 2",
deɛraa,dɪɛ́ ráá,,,,
deɛre,dɪɛ̀ ̀rɪ,,,,
dẽɛsãakoma,dɪɛ̀̃ ̀̃sã̀ã̀kʊ́má,n,,,
dẽɛyiri,dɪɛ̀̃ ̀̃yírí,n,,,
degedaga,dɪgɪ̀ dàgà,,,,
degere,dɪgrɪ̀,,,,
degili,dèglì,v,,,
degili,dèglì,v,,,
deli,délí,v,,Fo deme la gaŋ n deme. Yours are more than mine.,
demee,déméé,n,,Yeŋ demee la wa? Which people have come?,
demee,déméé,n,,A noore taa la demee. The fowls have owners.,
demm,dèmm,adv,,,
dendãee,dɪndã̀ ̀ɪɪ̀̃,,,,
dendege,dèndégé,n,,,
dendeŋe,dèndèŋé,adj,,,
dendeŋi,děndéŋ,adv,,,
dendeŋŋe,déndéŋŋé,n,,,
dendɔgaŋe,dɪndɔ̀ ́gǎŋ,n,,,
dendɔlee,dɪndɔ̀ ́léé,n,,,
dendɔmɔ,dɪndɔ́ ́mɔ́,n,,,
dendɔre,dɪndɔ̀ ́rɪ,,,,
deni,dèní,pron,,"A dagere poɔ n deni la bile. Among the boxes mine (the one that belongs to me) is the smallest. denni [dénnì] v. to carry on one’s head without the support of one’s hands dennee, denne, denne, denime, dennaa, denimee Var. delli",
deŋgeluu,dèŋgélúú,n,,,
deŋgereŋ,dèŋgèrèŋ,adv,,,
deŋo,dɪŋʊ̀	́,n,,,
deraa,dɪràà,,,,
deree,déréé,n,,,
deri,dèrì,v,,"Pampana ŋa ka ba salle a dankyini o naŋ ba deri. The wall has just been plastered and is not hardened yet. (2) to go into a state of convulsion, to collapse in hysteria, Ka kɔmmaaroŋ waare pɔgenyaŋaa naŋ zoro ɔɔre o na deri la. If cold water is accidently sprayed with water she will collapse in cold. deree, dere, dere, deribe, deraa, deribe",
detaareŋ,dɪtáárɪ̀ ŋ,v,,,
dɛbiri,dɛbírì,,,,
dɛbogi,dɛbògí,,,,
dɛdɛrɛɛ,dɛdɛ́ rɛ́ ɛ́,adv,,,
dɛge,dɛgɪ́,,,,
dɛgelɛkɛlɛ,dɛ̀glɛ̀kɛ̀lɛ̀,adj,,,
dɛgere,dɛgrɪ́,,,,
iribu,dɛgrɪ̌ ́ íríbú,n,,,
dɛlle,dɛllɪ́,,,,
dɛlle,dɛllɪ́,,,,
dɛlle,dɛ̀llɪ,,,,
dɛmɛdɛmɛ,dɛ̀mɛ̀dɛmɛ́,,,,
dɛmɛdɛmɛ,dɛ̀mɛ̀dɛ̀mɛ̀,adv,,,
dɛmmo,dɛ̀mmʊ́,n,,,
dɛndɛlɛŋ,dɛ̀ndɛ̀lɛ̀ŋ,adv,,,
dɛndɛŋe,dɛ̀ndɛŋ,,,,
dɛnne,dɛ̀nnɪ,,,,
dɛnne,dɛnnɪ́,,,,
dɛŋe,dɛŋ,adj,,,
Dɛre,dɛrɪ́,,,,
dɛre,dɛrɪ́,,,,
dɛre,dɛrɪ́,,,,
dɛremaakonokono,dɛrɪ́	máákónókónó,,,,
Dɛrepɔge,dɛ̀rɪpɔ̀ ́gɪ,,,,
di,dì,v,,"Bibiiri seŋ ka ba maŋ di bondirii kyɛ gaa sakuuri. (2) to burn, to blaze, Vũũ di la a tuu zaa. The whole shrub has been burnt down by fire. (3) to erode, to make sore, A bie noɔre die la ka ba sage na di bonzaa. The child has a sore mouth and refuses to eat anything. (4) to overcome, to win (5) to assume a throne (6) to judge, Ba di la ba zɔɔre sɛrɛɛ na baare. They have finished judging that case of fighting. diee, dire, dire, diribe, diraa, diribe",
dibogi,dìbògí,n,,,
die,dìè,n,,,
diebie,dìébíè,n,,,
diebugo,dìèbùgó,n,,,
dieli,dìèlì,v,,,
dieneɛ,dìènɪɛ́,,,,
faŋa,dì fáŋá,v,,,
diganaa,dìgánáà,n,,,
digaŋene,dìgàŋɪnɪ̀,n,,,
digoo,dìgòò,n,,,
digbogbo,dìgbògbò,adj,,,
dii,díì,v,,A teɛ da le dii la,
dii,díí,v,,"A yidaampɔge dii la a bɛŋɛ ne tampɛloŋ ka a na ta sãã. The head of the women preserved the bean seed in ash to prevent it from getting destroyed by insects. diiee, diire, dire, diiribe/diiribee, diiraa, diiribe",
diibu,dííbú,n,,,
kannyiri,dì kànɲìrì,v,,,
dikpaare,dìkpáárɪ,,,,
dikpeɛraa,dìkpɪɛ́ ráá,,,,
dilɔɔraa,dìlɔ́ɔ́ràá,n,,,
naaloŋ,dì náálʊ́ŋ,v,,,
naŋe,dì náŋ,v,,,
dindigiri,díndígirí,n,,,
neɛ,dì nɪɛ́,n,,,
dire,dìré,v,,,
diruŋ,dìrúŋ,n,,,
di sane,dì sánɪ,,,,
di sɛrɛɛ,dì sɛ̀rɛɛ́,n,,,
di suuri,dì súúrí,v,,,
di vi,dì ví,v,,,
do,dò,v,,,
do,dó,v,,,
dõo,dʊ̀̃ ʊ̀̃,adv,,,
dobaa,dòbáá,n,,,
dobadaa,dòbàdáá,n,,,
dobagbɛre,dòbàgbɛrɪ́,,,,
dobanɛne,dòbànɛnɪ́,,,,
dobapɔle,dòbàpɔ́lɪ,n,,,
dodaa,dòdáá,n,,,
dodoo,dʊ̀ dʊ́ʊ́,adj,,,
dodoo,dʊ̀ dʊ́ʊ́,n,,,
doge,dʊ́gɪ,,,,
doge,dʊ́gɪ,,,,
dogebile,dʊ́gɪbílé,,,,
dogekoma,dʊ́gkʊ́má,n,,,
dogele,dʊ́glɪ,,,,
dogelee,dʊ́gléé,n,,,
dogi,dògì,v,,"O dogi la a kuuri na naŋ pare a dankyini zu. S/he has removed the stone from the top of the wall. dogee, dogiro, dogiro, dogribo, dogiraa, dogiribo",
dogo,dʊ̀ gʊ́,n,,,
dogodogo,dógódògò,n,,,
dole,dʊ̀ lɪ,,,,
dole,dʊ́lɪ,,,,
doledole,dʊ̀ lɪdʊ̀ ́lɪ,,,,
dolee,dòléé,n,,,
doli,dólí,n,,,
doloŋ,dʊ̀ lʊ̀ ŋ,n,,,
domadoma,dʊ̀ màdʊ̀ mà,adv,,,
dombaala,dʊ̀ mbààlá,n,,,
dombɛroŋ,dʊ̀ mbɛrʊ́	́ŋ,n,,,
domm,dòmm,adv,,,
dompane,dʊ̀ mpánɪ,,,,
dompelaa,dʊ̀ mpɪlàá,,,,
dompɛge,dʊ̀ mpɛgɪ́,,,,
dompoll,dʊ̀ mpʊ̀ ll,n,,,
dompoɔ,dʊ̀ mpʊ́ɔ́,n,,,
dondaa,dʊ̀ ndáá,n,,,
dondigiraa,dʊ̀ ndígráá,n,,,
dondigire,dʊ̀ ndígré,n,,,
dondoli,dóndólí,n,,,
dondolo,dòndóló,n,,,
donɛɛ,dʊnɛɛ,n,,,
donfaa,dʊnfaa,n,,,
donforoŋ,dʊ̀ nfʊ̀ rʊ̀ ŋ,adv,,A pɔge e la bɛroŋ donforoŋ lɛ. The woman is big and puffed.,
donkyeenɛ,dùnʧɪɪ́ nɛ́,,,,
donnyaŋaa,dʊ́nɲáŋáá,n,,,
donnyaŋaa,dòɲáŋáá,n,,,
donsaana,dʊ́nsáánà,n,,,
donseɛ,dònsɪɛ́,,,,
donsɔgelaa,dʊ̀ nsɔ́gláá,n,,,
donsugo,dʊ̀ nsúgò,n,,,
doŋa,dʊ́ŋá,n,,,
doŋe,dʊ̀ ŋ,v,,,
doŋe,dʊ́ŋ,v,,,
doŋenokono,dʊ́ŋɪnʊ́	́kʊ́nʊ́,n,,,
doŋguolaa,dʊ̀ ŋgúóláà,n,,,
doŋguolo,dʊ̀ ŋgúólò,n,,,
doŋi,dǒŋ,n,,,
doŋkaraa,dʊ̀ ŋkáráá,n,,,
doŋkommiruu,dʊ̀ ŋkómmírúú,n,,,
doŋkɔɔseɛ,dʊ̀ ŋkɔ̀ɔ̀sɪɛ́,n,,,
doogɔ,dʊ́ʊ́gɔ́,n,,,
doore,dʊ̀ ʊ̀ rɪ,,,Ba doore la kõɔ lɛɛ te bale ba zaa.,
doɔ,dʊ́ɔ̀,v,,"O doɔ la o zu dayeni kyɛ leɛ gaŋ S/he raised his/her head once and laid back down. doɔɛ, doɔrɔ, doɔrɔ, doɔrebɔ, doɔraa, doɔrebɔ",
doɔ,dʊ́ɔ̀,v,,"A dɔɔ ŋmɛ la a bie doɔ bare. The man worsened the situation by beating the child. doɔɛ, doɔrɔ, doɔrɔ, doɔrebɔ, doɔraa, doɔrebɔ",
doɔ,dʊ̀ ɔ̀,v,,"A baa paalɛɛ la doɔrɔ. The river is overflowing its banks. doɔɛ, doɔrɔ",
doɔ,dʊ̀ ɔ̀,v,,,
doɔ,dʊ̀ ɔ́,n,,,
doɔbo,dʊ́ɔ́bʊ̀,n,,,
doɔle,dʊ̀ ɔ́lɪ,,,,
doɔle,dʊ̀ ɔ̀lɪ,,,,
doɔloŋ,dʊ̀ ɔ́lʊ́ŋ,n,,,
doɔnyeraa,dʊ̀ ɔ̀ɲɪráá,,,,
doɔre,dʊ̀ ɔ̀rɪ,,,,
dopɔle,dòpɔ́lɪ,,,,
dore,dʊ̀ rɪ,,,,
doreba,dʊ́rɪbà,,,,
doree,dòrèè,adj,,,
dori,dórí,n,,,
dori,dórí,n,,,
dosoraa,dòsáràà,n,,,
dɔ,dɔ̀,v,,,
dɔ,dɔ̀,v,,,
dɔ,dɔ́,v,,,
dɔdɔgeroŋ,dɔ́dɔ́grʊ̂ ŋ,n,,,
dɔɛ,dɔ́ɛ,,,"A bie dɔge la a nɛne a saabo zu. The child has taken the meat which was on top of the food. dɔgɛɛ, dɔgrɔ, dɔgrɔ, dɔgreba, dɔgraa, dɔgreba",
dɔgele,dɔ̀glɪ,,,"De a nɛne dɔgele dankyini zu ka baare ta wa de o. Place the meat on the wall so that dogs do not eat it. (2) to exceed, to be extra, A bie yɔɔ la a libie ka a dɔgele ka a seŋ ka fo leɛ de a dɔgelɔ ko o. The child has overpaid and so the extra money should be returned to him. dɔglɛɛ, dɔglɔ, dɔglɔ, dɔgleba, dɔglaa",
dɔgele,dɔ̀glɪ,,,,
dɔgere,dɔ́grɪ,,,,
dɔgeroŋ,dɔ̀grʊ̂ ŋ,n,,,
dɔgeroŋ,dɔ́grʊ̂ ŋ,n,,,
dɔgerɔ,dɔ́grɔ,n,,,
dɔgerɔlenne,dɔ̀grɔ́lénné,n,,,
dɔgɛɛ,dɔ́gɛɛ́,n,,,
dɔkone,dɔ̀kʊ́nɪ,,,,
dɔle,dɔ́lɪ,,,,
dɔlle,dɔ́llɪ,,,,
dɔlɔ,dɔ́lɔ́,n,,,
dɔlɔdɔlɔ,dɔ̀lɔ̀dɔ̀lɔ̀,adv,,,
karaa,dɔ́ndɔ̀ŋ-kàràá,n,,,
dɔndɔre,dɔ̀ndɔ̀rɪ,,,,
dɔndɔre,dɔ̀ndɔ̀rɪ,,,,
dɔŋe,dɔ̌ŋ,n,,,
dɔŋe,dɔ̀ŋ,v,,,
dɔɔ,dɔ̀ɔ̀,v,,,
dɔɔ,dɔ́ɔ́,n,,,
ɔ,dɔ̀̃ɔ̀̃,v,,,
ɔ,dɔ̀̃ɔ̀̃,v,,,
dɔɔbile,dɔ̀ɔ̀bílé,n,,,
Dɔɔdãa,dɔ̀ɔ̀dã́ã̀,n,,,
dɔɔkɔɔteɛlɔɔ,dɔ̀ɔ̀kɔ̀ɔ̀tɪɛ́ lɔ́ ́ɔ́,n,,,
dɔɔlapɔge,dɔ̀ɔ̀-lá-pɔ́gɪ,,,,
dɔɔlee,dɔ̀ɔ̀léé,n,,,
dɔɔloŋ,dɔ̀ɔ̀lʊ́ŋ,n,,,
dɔɔne,dɔ̀ɔ̀nɪ,,,"N woŋ la dɔɔne a die poɔ, neɛkaŋa be la be. I have heard some noise in the room, there must be someone in there. (2) movement, Te nyɛ la a baala nɔgbɛmɛ dɔɔne kyɛ te ba woŋi a yɛlɛ o naŋ yeli. We saw some movement of the patient’s lips but we did not hear what s/he said. (3) disturbance, worry, A pɔge yeli ka o ba boɔrɔ dɔɔne ka anaŋ so ka o yi. The woman said she did not want trouble and that is why she divorced.",
dɔɔnyaŋaa,dɔ̀ɔ̀ɲáŋáá,n,,,
dɔɔta,dɔ́ɔ́tà,n,,,
dɔɔtayiri,dɔ́ɔ́táyírí,n,,,
dɔre,dɔ̀rɪ,,,,
dɔre,dɔ́rɪ,n,,,
dɔsaŋkpare,dɔ́sáŋkparɪ,,,,
dɔsempeɛlɛ,dɔ̀sɪmpɪ́ ɛ́ lɛ́,,,,
dɔzɔŋe,dɔ̀zɔ̂ŋ,n,,,
du,dú,v,,,
dudugiri,dùdùgrí,n,,,
dugi,dúgí,n,,,
dukuree,dúkúréé,n,,,
duli,dúlí,v,,,
duluŋ,dùlûŋ,n,,,
dunduli,dùndùlí,n,,,
dundulivarekpɛnyoɔre,dúndùlìváríkpɛɲʊ́ ́ɔ́rɪ,,,,
dundulkyoo,dùndùlʧóò,n,,,
dundulvarkpɛnyoɔre,dùndùlvárkpɛ̀ɲʊ́ɔ́rɪ,,,,
dunduŋkolo,dùndǔŋkòlò,n,,,
duni,dúní,n,,,
dunselee,dùnséléé,n,,,
duŋi,dúŋ,n,,,
duo,dùó,n,,,
duo,dùò,v,,,
duogo,dúógó,n,,,
Duoŋ,dúóŋ,n,,,
duoraa,dùóráa,n,,,
duori,dúórì,v,,,
duori,dùòrì,v,,,
duoro,dùòró,n,,,
duorunlaa,dúórùnláá,n,,,
duorunwoɔ,dúórùnwʊ̀ ɔ̀,n,,,
duorunzẽẽ,dúórùnzɪɪ̃́,,,,
duoruŋ,dúórǔŋ,n,,,
duulaa,dùùláà,n,,,
e,ɪ,,,"Te na e o la velaa. We shall do him good. (2) to let, E ka te gaa pampana. Let us go now. (3) to fetch, A dɔɔ e la a kyi ko a pɔge. The man has fetched millet for the woman. (4) to be, A bie e la kpeɛŋaa. The child is strong. eɛɛ, erɛ, erɛ, erebɛ, eraa, erebɛ",
eele,ɪɪ́ lɪ́,,,,
eɛ,ɪɛ̀ ̀,v,,"Ba eɛ la a yɛlɛ fẽẽ ka N woŋ. They have given me a hint of the situation. eɛɛ, eɛrɛ, eɛrɛ, eɛrebɛ, eɛraa, eɛrebɛ",
ẽɛ,ɪɛ̃́ ̃,,,,
ẽɛ,ɪɛ̃́ ̀̃,v,,,
eɛne,ɪɛ̀ ̀nɪ,,,,
eɛne,ɪɛ́ nɪ́,,,,
eɛne,ɪɛ̀ nɪ̌,,,,
eɛne,ɪɛ̀ nɪ́,,,,
eɛne,ɪɛ̀ ̀nɪ,n,,,
eɛraa,ɪɛ́ ̀ráá,n,,,
eɛre,ɪɛ́ rɪ́,,,,
eɛre,ɪɛ̀ ̀rɪ,,,,
miri,ɪɛ̀ ̀rɪ-̀ mírì,n,,,
la,ɪ-̀ là,v,,,
laara,ɪ-̀ láárá,n,,,
embaare,ɪmbáárɪ̀,,,,
emii,ɪmíì,,,,
emmaa,ɪmáà,,,,
emmaaroŋ,ɪmmáárʊ̀ ́ŋ,n,,,
emmii,ɪmmìì,,,,
emmiiruŋ,ɪmmììrûŋ,,,,
emmiiruŋ,ɪmmììrûŋ,,,,
Emɔ,ɪmɔ́ ̀,n,,,
empoɔne,ɪmpʊ́ ́ɔ́nɪ,,,,
endaa,ɪndàá,,,,
waaloŋ,ɪndàá-wàálʊ̌ ̂ ŋ,n,,,
enfuomaale,ɪnfùòmàálɪ̀,,,,
enfuoni,ɪnfúóní,,,,
enfuori,ɪnfùòrì,,,,
enne,ɪnnɪ̀,,,,
ennoɔ,ɪnnʊ̀ ̀ ɔ́,n,,,
ensɔgelaa,ɪnsɔ́	́gláá,n,,,
entaa,ɪntáá,,,,
entole,ɪntʊ́	́lɪ,,,,
entoloŋ,ɪntʊ́	́lʊ̂ ŋ,n,,,
entukpalaa,ɪ̂ntùkpàláà,n,,,
entuo,ɪntúó,,,,
enzeɛ,ǐnzɪɛ̀,,,,
eŋ,ɪŋ,,,Maa eŋ koŋ gaa. As for me I won’t go.,
eŋe,ɪŋ,,,"o ɔŋ la kõɔ eŋe a doge poɔ. S/he has put water into the pot. (2) to put on (shoes, ring, spectacles) (3) to respect, A seŋe ka bibile maŋ eŋe neŋkpoŋ. The young should respect the elderly. eŋɛɛ, ennɛ, ennɛ, enemɛ, ennaa eŋe daa to set a date eŋe daa to beat",
eŋene,ɪŋɪ́ nɪ́,,,,
eŋene,ɪŋɪ́ nɪ́,,,A teŋɛ deme zaa taa la eŋene kora a naa. All the people in town have respect for the chief.,
eŋɛ,ɪŋɛ́,,,Boŋ eŋɛ ka fo wa? What have you come for?,
eŋɛ,ɪŋɛ́,,,,
eŋgane,ɪŋgánɪ̀,,,,
Eŋgelɛ,ɪŋgɪ́	lɛ̀ ̀,n,,,
Eŋgilisi,ɪŋgìlìsì,,,,
eŋkɔbɔ,ɪŋkɔ̀	́bɔ́,n,,,
eŋkpaŋkpoli,ɪŋkpáŋkpòlì,,,,
eŋkpoli,ɪŋkpòlɪ̀,,,,
eŋkpoŋkpoli,ɪŋkpóŋkpólì,,,,
noɔre,ɪŋ nʊ̀ ́ɔ́rɪ,v,,,
zẽɛ,ɪŋ zɪ̀ ɛ̀̃ ̃,v,,,
eroŋ,ɪrʊ̀	̂ ŋ,n,,,
eroŋ,ɪrʊ̀ ̂ ŋ,n,,,
etɔ,ɪtɔ́ ̀,n,,,
ewa,ɪwà,,,,
ewɛ,ɪwɛ́	̀,n,,,
ɛbaa,ɛbàà,,,,
ɛlemɛ,ɛ̀lɪmɛ̀,,,,
ɛloo,ɛ̀l-ɛ̀lʊ́ʊ́,interj,,,
ɛnne,ɛ̀nnɪ,,,,
ɛre,ɛrɪ́,,,,
ɛre,ɛrɪ́,,,,
ɛre,ɛ̀rɪ,,,,
eŋ,ɛ̀rɪ-̀ ɪŋ,,,,
